"Party"	"Question"	"Median_R1"	"Agrmt_R1"	"Median_R2"	"Agrmt_R2"
1	1	1	1	1	1
1	2	5	0.9	5	1
1	4	4	0.7	4	1
1	5	5	0.9	5	1
1	6	2	0.7	2	1
1	7	5	1	5	1
1	8	5	0.8	5	0.9
1	9	4	0.9	4	0.9
1	10	1	0.8	1	1
1	11	2	0.8	1	0.8
1	13	2	0.9	2	1
1	14	1	0.8	1	0.9
1	15	2	0.9	2	0.9
1	17	2	0.7	2	1
1	18	4	0.7	4	0.9
1	19	2	1	2	1
1	20	3	0.8	3	0.8
1	21	5	1	5	1
1	22	5	0.9	5	1
1	23	3	0.8	3	1
1	25	2	0.7	2	0.9
1	26	5	0.9	5	1
1	27	2	0.4	2	0.9
1	29	4	0.291666666666667	4	0.9
1	30	3	0.6	3	0.6
1	31	2	0.8	2	0.8
1	32	4	0.7	4	0.9
1	33	4	0.9	4	1
1	34	2	0.9	2	0.8
2	1	2	0.366666666666667	1	0.8
2	2	1	0.9	1	1
2	4	5	0.9	5	1
2	5	2	0.9	2	1
2	6	5	1	5	1
2	7	2	0.8	2	0.9
2	8	1	1	1	1
2	9	2	0.9	2	1
2	10	2	1	2	1
2	11	2	0.7	3	0.6
2	13	2	0.9	2	1
2	14	4	0.8	4	0.8
2	15	2	0.8	1	0.8
2	17	3	0.9	3	1
2	18	1	1	1	1
2	19	4	0.25	4	0.875
2	20	4	0.6	4	0.8
2	21	4	0.466666666666667	4	1
2	22	4	0.6	4	0.7
2	23	2	0.8	2	0.8
2	25	2	0.8	2	0.9
2	26	4	0.9	4	1
2	27	4	1	4	1
2	29	4	0.875	4	1
2	30	4	1	4	1
2	31	4	0.625	4	0.9
2	32	1	0.8	1	1
2	33	1	1	1	1
2	34	5	0.8	5	1
3	1	2	0.8	2	0.9
3	2	1	1	1	1
3	4	5	0.9	5	1
3	5	1	0.7	1	0.8
3	6	4	0.8	4	0.9
3	7	4	0.9	4	0.9
3	8	4	0.133333333333333	4	0.666666666666667
3	9	2	0.333333333333333	4	0.333333333333333
3	10	4	0.8	4	0.8
3	11	4	0.366666666666667	4	0.8
3	13	2	0.9	2	0.9
3	14	4	0.8	4	0.8
3	15	1	1	1	1
3	17	3	0.875	3	1
3	18	1	1	1	1
3	19	4	0.6	4	0.9
3	20	4	0.9	4	1
3	21	4	0.6	4	0.8
3	22	5	0.9	5	0.9
3	23	1	1	1	1
3	25	1	1	1	1
3	26	4	0.9	4	1
3	27	4	0.9	4	0.9
3	29	4	0.466666666666667	4	0.9
3	30	4	0.7	4	1
3	31	2	0.333333333333333	2	0.666666666666667
3	32	1	0.7	1	0.9
3	33	1	0.9	1	1
3	34	5	1	5	1
4	1	1	0.9	1	1
4	2	4	0.8	4	0.8
4	4	1	1	1	1
4	5	5	0.833333333333333	4	0.875
4	6	1	0.466666666666667	1	0.666666666666667
4	7	3	0.6	3	0.8
4	8	1	0.9	1	0.9
4	9	3	0.7	3	1
4	10	3	0.8	3	0.9
4	11	6	0.166666666666667	6	0.75
4	13	1	0.9	1	1
4	14	1	1	1	1
4	15	3	0.6	3	0.9
4	17	2	0.6	2	0.6
4	18	5	0.75	5	0.75
4	19	1	0.9	1	1
4	20	1	1	1	1
4	21	4	0.8	4	0.8
4	22	3	0.7	3	1
4	23	5	1	5	1
4	25	5	0.9	5	0.9
4	26	4	0.625	4	0.6
4	27	2	0.366666666666667	1	1
4	29	2	0.6	1	0.666666666666667
4	30	1	1	1	1
4	31	1	0.9	1	1
4	32	4	0.7	4	0.9
4	33	4	0.9	4	0.9
4	34	1	1	1	1
5	1	5	1	5	1
5	2	2	0.583333333333333	2	0.666666666666667
5	4	5	0.9	5	1
5	5	4	0.7	4	0.9
5	6	5	0.8	5	0.9
5	7	1	1	1	1
5	8	1	1	1	1
5	9	1	1	1	1
5	10	4	0.666666666666667	4	1
5	11	4	0.875	4	0.9
5	13	5	1	5	1
5	14	5	0.433333333333333	5	1
5	15	1	1	1	1
5	17	4	0.9	4	1
5	18	1	0.9	1	1
5	19	4	0.9	4	1
5	20	5	0.9	5	1
5	21	1	1	1	1
5	22	1	1	1	1
5	23	2	0.9	2	1
5	25	1	0.9	1	1
5	26	1	1	1	1
5	27	5	0.9	5	1
5	29	5	0.8	5	0.8
5	30	4	0.8	4	0.8
5	31	4	0.0888888888888889	3	0.466666666666667
5	32	1	1	1	1
5	33	1	1	1	1
5	34	5	0.233333333333333	5	0.9
