User	Party	Round	Question	Answer	Confidence	Justification	Source
2	1	1	1	1	4	The Conservative Party's commitment to it's 'long term economic plan' is central to its campaigning. Spending cuts are planned and ongoing.	https://www.conservatives.com/Plan/ReduceTheDeficit.aspx
5	1	1	1	1	4	High quality global journalism requires investment. Please share this article with others using the link below, do not cut & paste the article. See our Ts&Cs and Copyright Policy for more detail. Email ftsales.support@ft.com to buy additional rights. http://www.ft.com/cms/s/0/71d48fce-74a1-11e4-8321-00144feabdc0.html#ixzz3SyR4i2uD  George Osborne will next week announce plans to put into law a promise to balance Britain's underlying budget deficit by the middle of the next parliament, in a move partly intended as a trap for Labour. In a rare example of the Conservatives and Liberal Democrats agreeing policy beyond the next election, the two coalition parties are expected to set a formal target to eliminate the headline deficit by 2017-18. 	http://www.ft.com/cms/s/0/71d48fce-74a1-11e4-8321-00144feabdc0.html#axzz3SyR0DGPD
8	1	1	1	1	4	Commenting on the Conservative Party plans to tackle the Government deficit, Chancellor of the Excheqeur, George Osborne, stated that 'a future Tory government to carry out £30bn of spending cuts in the first two years of the new parliament'.   He estimated that £13bn would come from government departments, £12bn from the welfare budget and £5bn from reducing tax avoidance and evasion measures.  	http://www.telegraph.co.uk/finance/economics/11346577/Britain-will-run-a-surplus-in-the-good-times-says-Chancellor-George-Osborne.html
9	1	1	1	1	4	Jan 2015, budget  'It commits the government to a goal of balancing day-to-day spending - the structural current deficit - by 2017-18.  It would also ensure that debt is falling as a percentage of Gross Domestic Product (GDP) by 2016-17.  The Treasury says that to meet these targets a new government would have to make additional tax rises or spending cuts of around £30bn - more than Labour plans.'  	http://www.bbc.co.uk/news/uk-politics-30794472
10	1	1	1	1	3	"The Conservative Party is ideologically in favour of cutting spending, it has led public spending cuts this parliament and on 8th December 2014 George Osborne told the BBC that public spending cuts are a ""price that works for our country""."	http://www.bbc.co.uk/news/uk-politics-30375080
2	1	1	2	4	4	David Cameron has explicitly ruled out a 'mansion tax' in 2012. George Osborne's stamp duty reforms in Dec 2014 have been called 'Mansion Tax Lite' - further evidence that a 'masion tax' is unlikely (http://www.independent.co.uk/news/business/news/autumn-statement-osborne-unveils-stamp-duty-reform-welcomed-by-cable-as-mansion-tax-lite-9902741.html)	http://www.bbc.co.uk/news/uk-politics-19860672
5	1	1	2	5	4	" David Cameron has ruled out introducing a mansion tax if he is returned to office as Prime Minister at the next general election in 2015. Mr Cameron flatly rejected such a ""wealth tax"", despite Nick Clegg warning earlier this month that a levy on £2 million homes would be a ""red line"" policy in any future coalition talks. """	http://www.telegraph.co.uk/news/politics/david-cameron/10342817/David-Cameron-rules-out-mansion-tax.html
8	1	1	2	5	3	"""David Cameron has ruled out introducing a mansion tax if he is returned to office as Prime Minister at the next general election in 2015....  Mr Cameron flatly rejected such a ""wealth tax"", despite Nick Clegg warning earlier this month that a levy on £2 million homes would be a ""red line"" policy in any future coalition talks."""""	http://www.telegraph.co.uk/news/politics/david-cameron/10342817/David-Cameron-rules-out-mansion-tax.html
9	1	1	2	5	4	"Mr Cameron flatly rejected such a ""wealth tax"", despite Nick Clegg warning earlier this month that a levy on £2 million homes would be a ""red line"" policy in any future coalition talks.'"""	http://www.telegraph.co.uk/news/politics/david-cameron/10342817/David-Cameron-rules-out-mansion-tax.html
10	1	1	2	5	4	"On 29 September 2013, the Daily Telegraph reported David Cameron to have said the following:  ""I think wealth tax is not sensible for a country that wants to attract wealth creation, wants to reward saving and people who work hard and do the right thing"". Asked if this meant no mansion tax if he is Prime Minister after 2015, Mr Cameron replied: ""That's correct.""  I have seen no change from the Conservative Party since that date."	http://www.telegraph.co.uk/news/politics/david-cameron/10342817/David-Cameron-rules-out-mansion-tax.html
